ID,Platform,Username,Display Name,Followers,Region,Country Code,Inferred Country,Category,Is Live,Avatar URL,Profile URL,Language
cmk6ic02f07dml3708ycvnagt,YOUTUBE,"zuly","ZULY",435000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/yqLvDHSIs96-l6xx4TKYS87VoYuE0Ff3dZYxjjqaoZ0KqRIrlfO7Twx5Gx2i7uDSFsqQKNKx=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC70eZpj3DvqVKQw-M_cntCw,es
cmk6i6twr00vsl370zwyuv1w5,TWITCH,"estailus","Estailus",433905,MEXICO,,,IRL,No,https://static-cdn.jtvnw.net/jtv_user_pictures/7ee26850-100e-487b-81c7-cf0007764320-profile_image-300x300.png,https://twitch.tv/estailus,es
cmk6i9eq6046jl370erfp60j1,TWITCH,"alexcrasherss","alexcrasherss",430639,MEXICO,,,IRL,Yes,https://static-cdn.jtvnw.net/jtv_user_pictures/61b78cca-7a14-4dcf-a1a8-db1a660be279-profile_image-300x300.png,https://twitch.tv/alexcrasherss,es
cmk6i9yqm04vjl370vh74442y,YOUTUBE,"h2o_mejores","H2O Mejores",429000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/1yRZcP8HUZowdJB-1C6Ptyh3Kravuc6SmfPWy67TEA4C20xCnnf95ABTH6caxaF-Z3DF8Ism=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC7_ieV-f17mxINX2Cw3J9kw,es
cmk6ibqf60710l370c8ynifm9,YOUTUBE,"mary fer centeno","Mary Fer Centeno",428000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/TVViLrrRXzsABH9EPBqgqvMNJXc12XSTPlIa77wJl4ldbu6lwcjrois6zG_lb7D_ErA-7nBthA=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCaaqd7NyFs4rLsbybsNK5gA,es
cmk6icaex07prl370p49hfozj,YOUTUBE,"mamonymous","Mamonymous",427000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_mk_Uh1p1uESvBxoEV9s51uMSco5TslK_TPXTnGECOYZVI=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCiS8LDTfksEv9Ykf-utBPuQ,es
cmk6i76fc01bol370oeugvvt3,TWITCH,"millymusiic","millymusiic",425496,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/c9dd779a-aa58-4abc-bf89-4b93da605d5c-profile_image-300x300.png,https://twitch.tv/millymusiic,es
cmk6i7f7q01mwl370sdqq8p9q,TWITCH,"elvenado98","ElVenado98",425452,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/93058e96-55f7-4914-a57c-54b2ed2a8c5f-profile_image-300x300.png,https://twitch.tv/elvenado98,es
cmk6ia0b504xdl370ehsdrzq0,YOUTUBE,"casadeoracionmexico","Casa de Oracion Mexico",425000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_ljzlnsFUiRO45MiE0bW2uyyQrqdW_pmmRS9tHJL3xYm6c=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCwCD6QeG8C0zJaf0l8Hjmyw,es
cmk6ic2ad07ggl3701xtxh6b8,YOUTUBE,"ubaman","Ubaman",421000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/-rrDJQkSP09WY5Jv3Z7RluJJAyserxedhc0Nyo0vLzNry7dw5-qp6cepdxUGKEzFqtZ9sW75Cg=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCxqDIXlqSU1ksBuIJNk3Aog,en
